"NAsySeekAccepted","HomeBorn","IdeoScale","Empathy","Age","Female","EISCED","IncomeDecile","Country"
5,1,3,11,65,1,3,7,"Germany"
0,1,5,5,60,0,2,6,"United Kingdom"
5,1,4,4,32,0,6,9,"United Kingdom"
6,1,4,6,44,0,5,1,"Germany"
1,1,2,-2,55,0,3,3,"Germany"
6,1,0,8,51,1,3,4,"Germany"
0,1,7,-1,54,1,3,2,"Germany"
8,1,7,8,40,0,5,2,"Germany"
0,1,3,1,64,0,4,4,"United Kingdom"
5,1,5,2,40,0,3,5,"Germany"
3,1,3,2,48,0,5,7,"Germany"
4,1,3,7,61,1,7,5,"Germany"
10,1,1,-10,36,0,3,5,"Germany"
4,1,6,-1,35,0,3,10,"Germany"
3,1,8,0,30,0,3,2,"Germany"
3,1,5,8,68,1,5,5,"Germany"
8,1,3,5,39,0,3,1,"Germany"
4,1,4,2,24,1,6,8,"United Kingdom"
2,1,5,0,41,0,2,2,"Germany"
0,1,6,6,26,1,7,8,"Germany"
7,1,3,3,32,0,6,5,"Germany"
0,1,5,5,44,1,7,4,"Germany"
1,0,5,1,32,0,5,6,"United Kingdom"
3,1,5,5,62,1,3,5,"Germany"
0,1,3,6,46,0,3,7,"Germany"
3,1,4,5,65,0,7,7,"Germany"
6,1,1,5,59,0,3,3,"Germany"
3,1,6,8,30,1,6,2,"United Kingdom"
7,1,5,4,42,1,3,8,"Germany"
3,1,6,-3,34,0,5,8,"Germany"
6,1,5,0,34,0,3,4,"Germany"
0,1,6,-2,61,1,3,6,"Germany"
10,1,6,5,51,0,5,9,"Germany"
8,1,6,1,38,0,7,6,"Germany"
4,1,6,4,55,0,6,8,"Germany"
10,1,3,7,39,0,5,2,"Germany"
0,1,7,1,42,0,5,10,"Spain"
8,1,5,6,44,0,3,6,"Germany"
5,1,7,2,63,1,6,7,"United Kingdom"
1,1,8,8,58,1,2,3,"United Kingdom"
6,1,10,-1,29,0,7,8,"United Kingdom"
0,1,7,-3,30,0,3,5,"Germany"
0,1,5,2,33,0,2,5,"Germany"
10,1,5,8,32,0,7,10,"Germany"
0,1,1,2,50,0,2,1,"Germany"
3,1,4,4,64,0,3,5,"Germany"
3,1,5,7,35,1,5,7,"Germany"
5,0,5,5,49,0,5,6,"Germany"
0,1,5,1,25,0,5,8,"Germany"
6,1,5,7,24,1,5,4,"Germany"
8,1,0,9,50,1,7,5,"Germany"
3,1,5,2,52,0,3,5,"Germany"
8,1,3,6,31,0,6,1,"United Kingdom"
1,1,6,3,49,1,5,9,"Germany"
2,1,6,1,36,0,5,3,"Germany"
5,1,8,2,45,1,3,8,"Germany"
6,1,6,-1,43,1,3,9,"Germany"
8,1,2,0,56,1,6,7,"Germany"
10,1,5,5,47,0,5,3,"Germany"
7,1,5,5,59,1,7,4,"Germany"
0,1,6,3,37,1,2,3,"Germany"
10,1,3,5,33,0,5,1,"Germany"
2,1,5,2,45,1,3,2,"Germany"
4,1,5,-4,26,1,3,7,"Germany"
9,1,4,4,49,1,3,3,"Spain"
5,1,3,7,55,0,5,5,"Germany"
3,1,5,5,52,0,4,6,"United Kingdom"
1,1,5,3,38,0,1,3,"United Kingdom"
2,1,3,9,47,1,6,10,"United Kingdom"
4,1,5,0,41,1,7,6,"United Kingdom"
7,1,3,3,43,0,7,5,"United Kingdom"
0,1,8,0,66,0,1,4,"United Kingdom"
1,1,7,1,58,0,6,1,"United Kingdom"
3,1,5,6,55,0,2,1,"United Kingdom"
1,1,6,4,65,0,4,2,"United Kingdom"
8,1,3,4,44,0,5,6,"United Kingdom"
6,1,7,1,38,0,7,5,"United Kingdom"
0,1,5,0,29,0,2,1,"United Kingdom"
10,1,9,2,39,0,7,5,"United Kingdom"
7,1,5,6,50,1,3,6,"Spain"
0,1,8,4,52,0,4,4,"United Kingdom"
7,1,6,4,37,1,6,5,"Spain"
3,1,3,8,46,1,7,8,"Spain"
0,1,5,-1,60,0,1,2,"United Kingdom"
6,1,7,2,34,1,5,4,"United Kingdom"
5,1,6,-3,53,1,7,2,"Spain"
4,1,5,4,70,0,3,5,"United Kingdom"
0,1,2,1,36,1,5,3,"Spain"
3,1,7,7,32,1,4,7,"United Kingdom"
10,1,5,8,39,0,7,9,"Spain"
1,1,4,4,45,1,6,9,"Spain"
0,1,5,2,35,0,4,9,"United Kingdom"
0,1,5,2,46,1,7,3,"Spain"
0,1,10,-8,61,0,4,3,"United Kingdom"
0,1,6,7,47,1,4,7,"United Kingdom"
0,1,4,-2,63,1,3,2,"Spain"
4,1,5,1,30,1,6,6,"United Kingdom"
4,0,7,8,53,1,2,1,"Spain"
4,1,4,4,49,1,2,7,"Spain"
5,1,6,9,50,1,7,3,"Spain"
0,1,5,9,40,1,6,1,"United Kingdom"
1,1,0,4,39,1,1,1,"Spain"
6,1,0,9,35,0,3,4,"United Kingdom"
10,1,5,8,39,1,3,3,"United Kingdom"
0,1,10,1,60,1,2,1,"United Kingdom"
8,1,0,3,45,1,4,2,"Spain"
4,1,6,4,42,1,7,6,"Spain"
6,1,4,2,45,0,3,4,"Spain"
2,1,6,4,36,0,6,9,"United Kingdom"
0,1,5,-3,65,0,3,1,"United Kingdom"
6,1,5,7,43,1,6,10,"Spain"
7,1,5,0,67,0,1,1,"United Kingdom"
0,1,10,-3,61,1,7,7,"United Kingdom"
3,1,7,2,40,0,4,4,"United Kingdom"
3,1,4,6,52,0,6,4,"United Kingdom"
0,1,6,7,31,1,5,4,"Spain"
7,1,5,9,68,1,3,1,"United Kingdom"
6,1,10,4,41,0,7,4,"United Kingdom"
10,1,8,-1,34,1,6,7,"United Kingdom"
5,1,5,2,63,1,4,2,"United Kingdom"
10,1,1,0,37,0,7,9,"Spain"
0,1,1,1,46,1,6,10,"Spain"
0,1,8,6,28,1,5,1,"Spain"
0,1,5,0,55,0,4,4,"United Kingdom"
10,1,5,5,42,1,7,7,"Spain"
3,1,3,11,50,0,7,4,"Spain"
5,1,7,-1,35,1,6,2,"Spain"
10,1,6,2,28,1,3,2,"Spain"
7,1,5,10,51,1,7,6,"Spain"
0,1,5,3,30,0,4,5,"United Kingdom"
0,1,6,8,58,0,5,3,"United Kingdom"
1,1,4,5,65,0,4,1,"United Kingdom"
4,0,2,3,29,1,7,7,"United Kingdom"
6,1,0,-2,28,0,5,4,"United Kingdom"
10,1,0,1,30,1,7,1,"United Kingdom"
0,1,5,4,67,1,3,1,"United Kingdom"
8,1,5,10,35,1,3,9,"Spain"
0,1,5,4,47,0,6,6,"Spain"
4,1,3,4,45,0,7,6,"Spain"
8,1,3,2,28,0,6,10,"United Kingdom"
3,1,10,1,52,0,3,2,"Spain"
3,1,2,2,38,0,6,8,"United Kingdom"
2,1,4,5,52,1,5,8,"Spain"
2,0,6,4,40,0,6,6,"United Kingdom"
4,1,1,6,70,0,2,4,"United Kingdom"
3,1,5,8,66,1,2,1,"United Kingdom"
4,1,7,-4,50,0,7,6,"Spain"
3,1,3,8,53,1,4,9,"United Kingdom"
0,1,8,0,59,0,7,9,"United Kingdom"
10,1,2,8,36,0,2,8,"Spain"
0,1,4,-2,63,1,3,1,"United Kingdom"
4,1,5,4,66,1,5,1,"United Kingdom"
7,1,1,-2,50,0,7,9,"Spain"
0,1,8,0,54,0,4,4,"United Kingdom"
3,1,5,-4,48,1,5,2,"Spain"
3,1,5,3,49,1,2,8,"United Kingdom"
1,1,5,0,57,1,4,5,"United Kingdom"
10,0,8,6,38,0,5,2,"Spain"
7,1,6,4,65,1,6,7,"United Kingdom"
6,1,5,3,51,0,5,5,"United Kingdom"
2,1,6,4,49,0,5,8,"United Kingdom"
2,1,4,-1,39,0,7,10,"Spain"
9,1,3,4,58,1,3,1,"United Kingdom"
3,1,0,7,25,1,5,2,"Spain"
10,1,5,5,54,0,3,8,"United Kingdom"
2,1,1,5,48,0,1,3,"Spain"
3,1,5,0,53,0,6,8,"United Kingdom"
6,1,5,6,40,1,7,2,"Spain"
7,1,2,6,29,1,5,2,"Spain"
8,1,5,6,25,0,4,3,"United Kingdom"
8,1,2,7,21,1,4,1,"United Kingdom"
3,1,5,4,27,0,4,4,"United Kingdom"
4,1,4,3,51,0,4,7,"United Kingdom"
7,1,4,7,50,1,7,6,"United Kingdom"
6,1,3,0,57,0,2,6,"Spain"
3,1,5,3,45,1,5,8,"United Kingdom"
10,0,3,6,33,0,6,9,"United Kingdom"
4,1,3,-1,36,0,6,3,"United Kingdom"
0,1,5,0,42,0,7,4,"Spain"
0,1,7,1,43,1,6,8,"United Kingdom"
6,1,5,7,29,0,5,2,"Spain"
7,1,5,11,63,1,2,7,"United Kingdom"
7,1,6,4,57,0,4,1,"United Kingdom"
0,1,5,6,32,0,4,8,"United Kingdom"
6,1,3,7,53,1,2,10,"Spain"
7,1,5,6,39,1,2,8,"United Kingdom"
2,1,5,5,63,1,4,7,"United Kingdom"
2,1,7,0,40,1,2,2,"United Kingdom"
5,1,5,8,32,1,3,3,"United Kingdom"
10,1,3,2,33,1,7,4,"Spain"
5,1,2,12,23,0,4,2,"United Kingdom"
7,1,7,0,34,1,7,5,"Spain"
10,1,3,7,47,1,6,6,"Spain"
10,1,4,6,41,1,5,4,"Spain"
4,1,7,5,68,0,3,2,"United Kingdom"
1,1,5,2,57,0,4,8,"United Kingdom"
5,1,7,3,37,0,2,5,"United Kingdom"
0,1,5,5,26,1,5,2,"United Kingdom"
0,1,0,2,35,0,4,2,"Spain"
4,1,5,5,37,0,6,8,"United Kingdom"
3,1,8,7,28,0,5,10,"United Kingdom"
7,1,5,-2,41,0,5,2,"United Kingdom"
10,1,4,7,67,1,1,6,"Spain"
10,1,1,3,47,0,1,6,"Spain"
0,1,5,9,54,1,1,6,"Spain"
0,1,3,8,54,0,6,8,"Spain"
3,1,2,3,42,1,6,6,"Spain"
7,1,3,4,43,0,7,7,"Spain"
8,1,8,7,63,0,6,4,"Spain"
4,1,8,6,59,0,6,8,"Spain"
9,1,3,1,48,1,7,6,"Spain"
8,1,1,3,35,0,7,8,"Spain"
0,1,4,1,58,1,7,9,"Spain"
7,1,2,7,59,1,6,7,"Spain"
10,1,3,8,43,1,4,3,"Spain"
0,1,10,9,52,0,4,2,"Spain"
7,1,3,-1,39,0,5,9,"Spain"
7,1,3,3,47,0,7,7,"Spain"
6,1,7,-2,46,0,1,5,"Spain"
5,1,1,5,39,1,3,5,"Spain"
9,1,2,2,33,0,7,2,"Spain"
3,1,5,4,56,1,2,5,"Spain"
7,1,2,6,39,0,6,5,"Spain"
0,1,7,9,39,1,6,9,"Spain"
0,1,4,0,51,1,2,6,"Spain"
1,1,5,-2,36,1,4,3,"Spain"
5,1,3,0,37,1,5,2,"Spain"
2,1,6,1,44,1,6,6,"Spain"
0,1,7,0,35,1,6,6,"Spain"
3,1,2,3,41,0,4,6,"Spain"
3,1,9,-1,67,1,3,3,"Spain"
7,1,4,0,28,1,5,3,"Spain"
10,1,1,3,40,1,7,2,"Spain"
0,1,5,1,42,1,7,4,"Spain"
10,1,8,0,44,1,6,10,"Spain"
4,1,2,9,58,1,2,4,"Spain"
6,1,6,6,33,1,5,9,"Spain"
0,1,5,2,66,0,7,2,"Spain"
5,1,2,9,41,1,2,3,"Spain"
0,1,10,-2,59,0,3,4,"Spain"
8,1,2,4,44,1,2,7,"Spain"
10,1,2,6,42,0,5,9,"Spain"
10,1,7,5,46,1,6,5,"Spain"
4,1,7,1,28,0,6,8,"Spain"
3,1,5,5,46,1,6,3,"Spain"
4,1,3,4,48,1,4,7,"Spain"
10,1,3,10,34,1,6,2,"Spain"
5,1,3,6,32,0,7,9,"Spain"
0,1,7,0,31,1,3,2,"Spain"
0,1,5,10,44,1,1,5,"Spain"
2,1,4,-1,23,0,4,8,"United Kingdom"
8,1,5,7,42,1,4,2,"United Kingdom"
2,1,5,4,52,0,3,3,"United Kingdom"
8,1,8,6,69,0,7,7,"United Kingdom"
4,1,0,7,63,0,4,2,"United Kingdom"
1,1,5,-2,57,1,3,7,"United Kingdom"
3,1,6,8,63,1,7,2,"United Kingdom"
1,1,7,-6,48,0,2,8,"United Kingdom"
3,1,5,6,50,1,4,8,"United Kingdom"
10,1,0,7,57,0,7,8,"Spain"
1,1,5,0,59,0,4,4,"United Kingdom"
3,1,4,4,38,0,4,3,"United Kingdom"
9,1,5,6,23,1,7,4,"United Kingdom"
8,1,8,5,44,0,7,3,"United Kingdom"
9,1,2,7,44,0,6,6,"United Kingdom"
2,1,7,3,26,0,5,5,"United Kingdom"
3,1,7,-1,48,1,5,7,"United Kingdom"
3,1,1,2,63,0,5,6,"United Kingdom"
0,1,6,4,52,0,6,9,"United Kingdom"
4,1,5,0,34,0,2,6,"Spain"
1,1,6,5,63,0,2,7,"United Kingdom"
10,1,5,10,59,1,1,1,"United Kingdom"
4,1,4,4,60,0,2,6,"United Kingdom"
4,1,2,1,24,1,4,3,"United Kingdom"
2,1,7,7,51,0,4,3,"United Kingdom"
2,1,4,0,40,0,7,6,"Spain"
0,1,6,6,44,0,5,7,"United Kingdom"
0,1,7,3,36,0,4,8,"United Kingdom"
1,1,5,4,60,1,5,7,"United Kingdom"
0,1,4,0,44,0,6,6,"Germany"
0,1,5,1,58,0,6,6,"United Kingdom"
1,1,4,1,48,0,5,3,"Germany"
5,0,5,4,26,1,6,2,"United Kingdom"
10,1,8,0,52,1,1,4,"Spain"
8,1,2,9,42,0,6,10,"United Kingdom"
3,1,7,8,31,1,7,10,"Spain"
0,1,5,0,21,1,4,4,"United Kingdom"
3,1,9,0,53,1,3,9,"Spain"
4,1,5,5,24,0,5,3,"United Kingdom"
4,1,8,2,66,0,5,5,"United Kingdom"
5,1,3,6,34,1,5,9,"Spain"
2,1,5,5,64,1,3,5,"United Kingdom"
0,1,5,0,66,0,3,5,"United Kingdom"
9,0,0,8,24,1,2,2,"United Kingdom"
0,1,5,5,45,1,6,4,"Spain"
0,1,10,-6,36,0,6,9,"United Kingdom"
5,1,5,2,66,1,2,1,"United Kingdom"
8,1,8,0,44,0,6,8,"United Kingdom"
3,1,2,-2,55,0,2,10,"Spain"
0,1,7,-3,39,1,5,9,"Spain"
2,1,5,3,50,0,6,7,"Germany"
5,1,5,9,44,0,3,2,"Germany"
0,1,5,2,67,0,5,3,"Germany"
4,1,5,10,56,0,2,3,"United Kingdom"
0,1,5,9,36,1,5,2,"Spain"
10,1,2,8,45,1,2,4,"Spain"
0,1,5,1,56,1,7,1,"United Kingdom"
2,1,5,2,58,0,4,4,"Spain"
7,1,5,-9,64,1,3,7,"Germany"
1,0,0,7,33,1,7,4,"United Kingdom"
2,1,5,-2,59,1,5,1,"United Kingdom"
8,1,7,5,27,1,6,1,"Germany"
4,1,5,0,58,1,5,3,"Germany"
6,1,6,4,30,0,7,7,"Germany"
0,1,6,3,70,0,6,4,"United Kingdom"
0,1,4,2,49,1,2,1,"United Kingdom"
1,1,5,2,66,1,2,2,"United Kingdom"
10,1,0,11,41,1,7,2,"Spain"
2,1,6,1,67,0,7,10,"Germany"
2,1,5,3,32,0,3,2,"Germany"
3,0,3,4,52,0,5,9,"Germany"
7,1,5,6,26,1,7,3,"Spain"
7,1,4,9,32,1,7,5,"Spain"
7,0,6,10,26,1,6,6,"United Kingdom"
0,1,7,1,26,0,3,8,"Germany"
10,1,2,7,29,1,7,5,"Germany"
0,1,5,0,68,0,3,3,"Germany"
10,1,6,5,36,0,5,10,"Germany"
0,1,4,0,52,0,5,3,"Spain"
4,1,3,2,59,0,3,4,"Germany"
1,1,5,0,57,0,5,4,"Germany"
10,1,3,8,66,0,6,10,"Spain"
5,1,5,8,67,0,4,7,"United Kingdom"
6,1,5,8,33,0,3,1,"United Kingdom"
0,1,6,0,28,1,3,8,"Germany"
1,1,5,5,30,1,3,5,"Germany"
5,1,8,3,56,0,7,10,"United Kingdom"
0,1,5,2,25,1,5,1,"Germany"
0,1,5,4,49,0,2,3,"Spain"
4,1,5,0,44,0,3,6,"Germany"
5,1,0,2,30,1,7,6,"United Kingdom"
10,1,2,7,63,0,3,1,"United Kingdom"
6,1,2,4,31,1,3,7,"United Kingdom"
5,1,3,4,63,1,6,3,"Germany"
10,1,0,12,28,0,4,5,"United Kingdom"
6,1,5,12,37,1,1,5,"Spain"
1,1,4,6,33,1,7,6,"Spain"
10,1,5,2,42,0,7,2,"Spain"
9,1,5,11,57,1,7,7,"Germany"
0,1,3,1,40,0,7,5,"Germany"
3,1,5,0,36,1,3,3,"Germany"
4,1,5,-1,47,0,5,7,"United Kingdom"
5,1,8,10,36,0,5,8,"Germany"
0,1,5,8,31,1,2,10,"Spain"
5,1,5,6,63,1,6,1,"Germany"
6,0,3,7,51,1,7,1,"Spain"
5,1,7,6,64,1,4,8,"United Kingdom"
0,1,5,6,60,1,5,6,"United Kingdom"
8,1,5,10,60,1,5,1,"United Kingdom"
0,1,5,11,59,0,3,5,"Germany"
5,1,5,6,48,1,3,2,"Spain"
2,1,5,-1,47,0,5,10,"Germany"
5,1,5,7,31,1,3,7,"Spain"
8,1,2,3,25,0,3,2,"Germany"
9,1,6,-3,42,0,6,5,"Germany"
6,1,4,9,28,1,5,4,"Germany"
5,1,2,-3,44,0,7,7,"United Kingdom"
7,1,2,8,41,1,7,9,"Germany"
1,1,6,-4,32,1,6,3,"Germany"
9,1,7,-2,51,1,7,6,"Spain"
0,1,7,2,23,1,2,2,"Spain"
3,1,2,0,67,1,1,2,"United Kingdom"
2,0,6,3,43,0,7,6,"Germany"
4,1,3,5,62,1,3,3,"Germany"
4,1,5,3,64,1,2,2,"United Kingdom"
8,1,5,5,52,1,3,3,"Germany"
0,1,7,1,66,1,4,1,"United Kingdom"
8,1,4,7,59,0,7,4,"Germany"
4,0,6,1,29,1,3,4,"Germany"
1,1,3,1,60,1,7,7,"Germany"
6,1,6,5,62,0,4,7,"United Kingdom"
1,1,4,8,65,1,2,5,"Germany"
2,1,6,3,46,1,3,7,"United Kingdom"
10,1,3,10,50,1,7,9,"Spain"
2,1,6,3,30,0,7,6,"Germany"
3,1,6,0,39,0,6,3,"Spain"
7,1,4,0,35,1,2,1,"Spain"
5,1,6,7,61,0,2,4,"United Kingdom"
7,0,3,0,40,1,5,8,"Spain"
3,1,4,6,50,0,2,2,"United Kingdom"
4,1,4,5,61,0,3,10,"Germany"
6,1,6,8,23,0,5,8,"Germany"
5,1,5,4,59,0,6,6,"Germany"
10,0,5,7,39,1,7,9,"United Kingdom"
0,1,10,10,56,1,4,1,"United Kingdom"
2,1,7,3,52,0,3,7,"United Kingdom"
8,1,4,6,32,1,5,4,"Germany"
0,1,5,6,35,1,3,5,"United Kingdom"
5,1,6,5,52,1,3,2,"Germany"
3,1,4,9,57,0,7,9,"Germany"
4,1,3,7,42,0,4,6,"United Kingdom"
6,1,4,7,51,0,5,7,"Germany"
5,1,3,7,38,1,4,4,"United Kingdom"
6,1,5,0,63,1,3,2,"Germany"
10,1,3,10,64,0,4,3,"United Kingdom"
1,1,5,3,50,1,3,9,"Germany"
2,1,5,-4,27,1,3,3,"Germany"
10,1,10,3,38,1,7,10,"Spain"
5,1,0,8,27,1,5,7,"Germany"
0,1,6,3,68,0,3,1,"Germany"
4,1,5,5,57,0,6,10,"Germany"
4,1,2,8,45,1,3,6,"Germany"
3,1,5,8,48,1,7,9,"Spain"
2,1,3,3,59,1,3,6,"Germany"
5,1,6,2,61,1,7,4,"Germany"
0,1,8,-2,36,1,7,10,"Spain"
0,1,5,-2,52,0,3,2,"Germany"
5,1,5,1,52,0,5,3,"Germany"
4,1,3,1,65,0,7,3,"Germany"
1,1,6,6,68,0,4,6,"United Kingdom"
5,1,2,2,51,1,2,2,"Germany"
10,1,1,8,49,1,5,2,"Germany"
5,0,5,0,57,1,2,1,"United Kingdom"
8,1,9,0,38,0,6,5,"Spain"
5,1,4,6,67,0,6,5,"Germany"
0,1,5,10,56,0,6,6,"Germany"
0,1,2,-5,48,1,6,9,"Germany"
5,1,5,1,61,1,5,10,"Spain"
3,1,3,0,22,1,5,1,"Germany"
8,1,6,4,45,0,6,8,"Germany"
0,1,5,-6,45,0,2,4,"Germany"
0,1,5,1,42,1,2,2,"Spain"
0,1,3,-1,45,0,4,6,"United Kingdom"
1,1,5,0,45,0,4,1,"United Kingdom"
10,0,4,3,55,1,7,8,"Germany"
0,1,10,9,46,0,7,6,"United Kingdom"
0,1,3,5,27,1,6,1,"Germany"
3,1,5,4,64,1,3,5,"Germany"
0,1,5,6,46,0,5,3,"United Kingdom"
6,1,5,7,49,1,3,5,"Germany"
10,0,5,6,46,1,6,9,"United Kingdom"
10,1,5,0,44,1,3,1,"Germany"
5,1,6,3,65,1,5,6,"United Kingdom"
6,1,5,1,55,1,5,7,"Germany"
5,1,7,8,36,0,3,3,"Germany"
3,1,5,3,44,1,3,3,"Germany"
0,1,5,-7,40,1,7,10,"Germany"
5,1,3,2,65,0,3,5,"Germany"
2,1,5,8,42,1,7,9,"Germany"
3,0,6,0,56,0,3,2,"Germany"
4,1,7,-1,55,1,5,10,"United Kingdom"
1,1,7,4,47,0,3,3,"United Kingdom"
3,1,3,-2,51,0,3,1,"Germany"
5,1,5,8,55,1,1,7,"United Kingdom"
6,1,4,2,65,1,3,1,"Germany"
5,1,2,6,43,0,5,3,"Germany"
7,1,0,2,67,1,7,2,"Germany"
5,1,6,0,35,0,3,6,"Spain"
0,1,5,4,61,0,2,1,"United Kingdom"
7,1,3,3,53,0,6,8,"Germany"
5,1,2,1,52,0,4,5,"Spain"
2,1,5,3,62,0,3,2,"Germany"
8,0,6,5,53,0,7,10,"Germany"
2,1,0,2,40,1,3,2,"United Kingdom"
8,1,5,8,44,1,2,2,"Spain"
2,1,5,-1,49,1,6,2,"Spain"
8,1,5,5,25,1,5,9,"Germany"
0,1,2,4,61,0,6,8,"Spain"
3,1,8,5,25,1,5,3,"Spain"
5,1,3,3,46,1,6,9,"United Kingdom"
9,1,3,8,43,0,2,2,"Spain"
3,1,5,0,67,0,5,8,"Germany"
5,1,5,3,40,1,5,4,"United Kingdom"
1,1,7,0,58,0,5,6,"Spain"
7,1,2,3,62,1,3,2,"Germany"
0,1,5,-3,56,1,6,10,"United Kingdom"
0,1,5,5,56,0,6,1,"United Kingdom"
0,1,5,0,41,1,6,9,"Spain"
4,1,8,7,61,0,6,6,"United Kingdom"
0,1,5,5,55,1,3,8,"Germany"
6,1,3,11,64,1,5,6,"Germany"
0,1,7,7,50,1,2,7,"United Kingdom"
5,1,3,4,50,0,5,9,"Germany"
1,1,5,-1,31,1,3,5,"Germany"
10,1,8,1,62,0,6,7,"Germany"
0,1,5,2,35,0,2,2,"Germany"
7,1,4,4,65,0,7,8,"Germany"
5,1,5,7,62,0,5,1,"United Kingdom"
0,1,8,-3,52,0,3,1,"Germany"
3,1,3,5,64,0,3,5,"Germany"
8,1,5,0,28,0,4,6,"United Kingdom"
0,1,3,1,63,1,4,4,"United Kingdom"
2,1,1,4,62,0,5,2,"United Kingdom"
4,1,6,4,22,1,3,2,"Germany"
10,1,3,6,50,1,7,9,"Spain"
8,0,5,8,23,1,4,1,"United Kingdom"
2,1,2,2,34,0,5,2,"Germany"
2,1,5,6,64,0,5,7,"United Kingdom"
6,0,5,2,65,0,3,10,"Germany"
2,1,7,2,52,0,6,9,"United Kingdom"
0,1,5,7,63,0,3,3,"Germany"
0,1,5,0,45,1,3,2,"Germany"
1,1,5,2,53,1,3,10,"Germany"
4,1,7,3,46,0,5,5,"Germany"
5,1,10,3,62,0,6,9,"Spain"
4,1,3,12,48,1,4,6,"Spain"
8,0,5,4,51,1,1,1,"Spain"
2,1,6,2,42,1,7,9,"United Kingdom"
6,1,1,-1,53,1,2,7,"Spain"
1,1,5,1,38,1,3,5,"Germany"
7,1,4,2,38,1,6,2,"United Kingdom"
0,1,5,5,60,0,4,6,"United Kingdom"
2,1,4,2,45,0,3,6,"Germany"
2,1,8,-1,40,0,6,8,"Germany"
9,1,2,2,60,0,7,3,"Germany"
2,1,6,1,33,0,6,9,"Germany"
5,1,4,1,59,0,3,7,"Germany"
1,1,5,1,61,1,3,8,"Germany"
3,1,3,1,68,0,6,8,"Germany"
8,1,5,3,51,1,3,2,"Germany"
0,1,5,5,43,0,2,9,"Spain"
10,1,9,2,28,0,3,2,"United Kingdom"
0,1,5,1,41,1,3,3,"United Kingdom"
10,1,2,3,41,0,6,9,"United Kingdom"
5,1,5,5,54,1,3,5,"Germany"
0,1,5,7,57,0,3,4,"Germany"
0,1,5,12,64,0,6,8,"United Kingdom"
2,1,5,5,55,0,5,3,"United Kingdom"
3,1,4,9,46,0,7,10,"Germany"
6,1,2,3,64,0,6,10,"Germany"
7,1,6,0,45,0,3,9,"Germany"
9,1,5,3,57,1,5,2,"Germany"
1,1,5,-1,25,0,5,1,"Germany"
8,1,8,12,69,1,1,2,"United Kingdom"
9,1,0,2,46,0,7,10,"Spain"
7,1,3,2,68,0,6,5,"Germany"
0,1,2,-1,69,0,7,7,"Germany"
5,1,5,0,67,0,2,6,"United Kingdom"
0,1,7,0,61,1,3,1,"Germany"
3,1,5,6,59,1,7,9,"United Kingdom"
2,1,5,2,68,1,1,1,"United Kingdom"
1,1,7,0,37,1,6,10,"United Kingdom"
10,1,4,5,48,1,7,7,"Spain"
0,1,7,-3,54,1,6,9,"United Kingdom"
8,1,0,0,43,0,5,9,"Germany"
4,1,3,6,58,1,7,8,"Germany"
0,1,7,-1,42,1,3,1,"Germany"
